vendor_id,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,year,month,day,day_of_week,is_weekend,hour,h_distance
1,1,1.2,-73.996,40.763,1,0,-73.991,40.751,9.0,724,2016,5,21,7,1,17,1.400694110113159
1,1,1.2,-73.995,40.75,1,0,-74.003,40.74,7.0,454,2016,5,15,1,1,3,1.2501523411736428
1,1,1.2,-73.994,40.751,1,0,-73.988,40.765,6.5,368,2016,5,15,1,1,20,1.6699996077093748
1,1,1.2,-73.992,40.75,1,0,-73.999,40.761,7.0,464,2016,5,17,3,0,21,1.3689623567518023
1,1,1.2,-73.991,40.755,1,0,-73.976,40.761,12.0,1138,2016,5,17,3,0,9,1.4673357730130234
1,1,1.2,-73.99,40.731,1,0,-74.002,40.729,8.5,641,2016,5,4,4,0,20,1.0303691578349383
1,1,1.2,-73.99,40.742,1,0,-73.983,40.73,7.0,477,2016,1,20,4,0,19,1.5076722450517497
1,1,1.2,-73.99,40.756,1,0,-74.003,40.748,7.5,563,2016,1,21,5,0,10,1.3974208440126583
1,1,1.2,-73.986,40.768,1,0,-73.976,40.757,7.5,512,2016,6,3,6,0,8,1.4889994130669624
1,1,1.2,-73.984,40.746,1,0,-73.996,40.732,6.0,254,2016,5,16,2,0,0,1.7811134671673754
1,1,1.2,-73.983,40.765,1,0,-73.991,40.75,5.5,269,2016,6,4,7,1,6,1.7594751240584297
1,1,1.2,-73.983,40.766,1,0,-73.972,40.782,7.0,420,2016,5,17,3,0,13,2.0097338042719675
1,1,1.2,-73.982,40.768,1,0,-73.99,40.757,6.5,432,2016,1,21,5,0,13,1.4614994174438831
1,1,1.2,-73.982,40.768,1,0,-73.978,40.783,6.5,344,2016,5,10,3,0,17,1.7141928199824923
1,1,1.2,-73.98,40.765,1,0,-73.991,40.751,7.5,489,2016,5,24,3,0,21,1.8350418949964011
1,1,1.2,-73.977,40.79,1,0,-73.961,40.78,7.5,493,2016,5,10,3,0,12,1.7409996122669495
1,1,1.2,-73.976,40.729,1,0,-73.992,40.727,8.0,615,2016,5,21,7,1,21,1.3419432048118864
1,1,1.2,-73.976,40.745,1,0,-73.975,40.73,6.5,363,2016,1,21,5,0,10,1.6815435348603063
1,1,1.2,-73.974,40.784,1,0,-73.959,40.78,6.5,360,2016,5,21,7,1,0,1.3144541340828075
1,1,1.2,-73.973,40.758,1,0,-73.99,40.757,9.5,793,2016,5,18,4,0,0,1.4380121364935592
1,1,1.2,-73.971,40.762,1,0,-73.979,40.747,7.0,468,2016,5,14,7,1,11,1.7679392578528985
1,1,1.2,-73.97,40.753,1,0,-73.983,40.744,8.0,557,2016,5,16,2,0,9,1.482791856252317
1,1,1.2,-73.969,40.795,1,0,-73.954,40.801,6.0,299,2016,5,11,4,0,2,1.4167959182215975
1,1,1.2,-73.967,40.757,1,0,-73.954,40.767,6.5,360,2016,5,25,4,0,16,1.6316011941269737
1,1,1.2,-73.967,40.758,1,0,-73.978,40.742,14.0,1315,2016,1,21,5,0,13,1.9374728593470893
1,1,1.2,-73.967,40.761,1,0,-73.955,40.773,5.5,187,2016,5,15,1,1,9,1.7633969797179154
1,1,1.2,-73.967,40.762,1,0,-73.952,40.766,6.5,418,2016,6,4,7,1,20,1.3579967862630613
1,1,1.2,-73.966,40.766,1,0,-73.96,40.779,10.5,856,2016,6,3,6,0,16,1.5327850941070105
1,1,1.2,-73.966,40.795,1,0,-73.979,40.782,6.0,327,2016,5,16,2,0,9,1.7780875815798385
1,1,1.2,-73.963,40.769,1,0,-73.958,40.782,6.5,379,2016,6,4,7,1,21,1.4984036174282855
1,1,1.2,-73.962,40.771,1,0,-73.972,40.782,6.0,282,2016,5,9,2,0,19,1.4831890910680283
1,1,1.2,-73.96,40.779,1,0,-73.97,40.79,6.5,349,2016,5,16,2,0,20,1.4664082095650093
1,1,1.2,-73.959,40.781,1,0,-73.968,40.765,7.5,442,2016,5,15,1,1,21,1.9376970938002005
1,1,1.2,-73.954,40.788,1,0,-73.97,40.789,6.5,400,2016,5,11,4,0,12,1.3673223592648045
1,1,1.2,-73.844,40.721,1,0,-73.827,40.729,6.0,283,2016,5,15,1,1,0,1.709823578752654
1,1,1.3,-74.007,40.748,1,0,-74.009,40.73,7.0,381,2016,1,31,1,1,1,2.095112662783218
1,1,1.3,-74.001,40.728,1,0,-74.013,40.717,7.0,421,2016,5,25,4,0,11,1.5287171645663795
1,1,1.3,-74.001,40.731,1,0,-73.98,40.727,7.5,536,2016,5,10,3,0,20,1.848662489576358
1,1,1.3,-74.0,40.733,1,0,-73.984,40.746,11.0,963,2016,1,21,5,0,12,1.855780529744782
1,1,1.3,-73.999,40.745,1,0,-73.986,40.762,10.0,855,2016,5,14,7,1,23,2.1944054999664613
1,1,1.3,-73.999,40.755,1,0,-73.987,40.772,6.0,307,2016,5,17,3,0,16,2.0720912286453483
1,1,1.3,-73.997,40.747,1,0,-73.985,40.764,9.0,672,2016,6,3,6,0,22,2.150508858231287
1,1,1.3,-73.996,40.744,1,1,-74.001,40.755,7.0,437,2016,1,31,1,1,13,1.3795202013234513
1,1,1.3,-73.995,40.751,1,0,-73.979,40.761,11.0,951,2016,1,20,4,0,14,1.7512227842277068
1,1,1.3,-73.994,40.72,1,0,-74.008,40.705,7.0,407,2016,6,4,7,1,11,1.995571715201398
1,1,1.3,-73.994,40.746,1,0,-74.005,40.728,7.5,505,2016,5,21,7,1,18,2.1914180917138335
1,1,1.3,-73.994,40.747,1,0,-74.004,40.73,7.5,528,2016,1,21,5,0,13,2.052755910037692
1,1,1.3,-73.994,40.759,1,0,-73.974,40.754,8.5,675,2016,5,21,7,1,12,1.7159225312574309
1,1,1.3,-73.992,40.75,1,0,-73.979,40.75,6.5,392,2016,5,14,7,1,6,1.0936205555293843
1,1,1.3,-73.991,40.76,1,0,-73.974,40.751,7.0,436,2016,1,20,4,0,19,1.7604752500215861
1,1,1.3,-73.99,40.719,1,0,-74.0,40.727,10.5,930,2016,5,15,1,1,1,1.268435013893467
1,1,1.3,-73.99,40.756,1,0,-73.976,40.745,7.5,483,2016,5,17,3,0,1,1.7570748439620183
1,1,1.3,-73.989,40.748,1,0,-73.976,40.759,10.0,800,2016,5,25,4,0,11,1.6241727917263478
1,1,1.3,-73.987,40.748,1,0,-73.989,40.732,7.0,409,2016,5,15,1,1,2,1.7891371376628713
1,1,1.3,-73.985,40.733,1,0,-74.002,40.728,8.5,578,2016,1,31,1,1,21,1.5214244169636413
1,1,1.3,-73.985,40.744,1,0,-73.974,40.762,7.0,392,2016,5,21,7,1,13,2.137175275207876
1,1,1.3,-73.983,40.767,1,0,-73.977,40.755,7.5,488,2016,6,10,6,0,8,1.389204778108958
1,1,1.3,-73.98,40.735,1,0,-73.971,40.752,9.0,647,2016,5,11,4,0,10,1.987039310004192
1,1,1.3,-73.98,40.781,1,0,-73.961,40.776,8.5,602,2016,5,21,7,1,16,1.6741600039991333
1,1,1.3,-73.975,40.752,1,0,-73.991,40.744,9.5,784,2016,5,10,3,0,9,1.632311286332485
1,1,1.3,-73.971,40.798,1,0,-73.981,40.782,7.0,398,2016,5,11,4,0,7,1.9884111062458634
1,1,1.3,-73.967,40.793,1,0,-73.98,40.781,7.0,454,2016,5,15,1,1,14,1.7879739058056947
